var1,var2,correlation
c18_1_lpe,x2_aminoisobutyric_acid,-0.1
c18_1_lpe,histamine,-0.05
c18_1_lpe,n_carbamoyl_beta_alanine,-0.05
c18_1_lpe,x4_acetamidobutanoate,-0.05
c18_1_lpe,x4_hydroxyhippurate,-0.05
c18_1_lpe,bilirubin,-0.05
c18_1_lpe,biliverdin,-0.05
c18_1_lpe,dmgv,-0.05
c18_1_lpe,hippurate,-0.05
c18_1_lpe,homoarginine,-0.05
c18_1_lpe,n2_n2_dimethylguanosine,-0.05
c18_1_lpe,n6_n6_dimethyllysine,-0.05
c18_1_lpe,n6_methyllysine,-0.05
c18_1_lpe,n_acetylputrescine,-0.05
c18_1_lpe,trigonelline,-0.05
c18_1_lpe,x2_aminobutyrate,-0.05
c18_1_lpe,x3_hydroxymethylglutarate,-0.05
c18_1_lpe,x3_methyladipate_pimelate,-0.05
c18_1_lpe,adonitol_arabitol,-0.05
c18_1_lpe,amp,-0.05
c18_1_lpe,glucuronate,-0.05
c18_1_lpe,kynurenine,-0.05
c18_1_lpe,lactate,-0.05
c18_1_lpe,malonate,-0.05
c18_1_lpe,c18_2_lpc,0.45
c18_1_lpe,c18_1_lpc,0.5
c18_1_lpe,c18_0_lpc,0.4
c18_1_lpe,c18_2_lpe,0.75
c34_2_pc,serine,-0.1
c34_2_pc,histidine,-0.1
c34_2_pc,lysine,-0.1
c34_2_pc,leucine,-0.05
c34_2_pc,tryptophan,-0.05
c34_2_pc,proline,-0.05
c34_2_pc,hydroxyproline,-0.05
c34_2_pc,gaba,-0.1
c34_2_pc,x2_aminoisobutyric_acid,-0.1
c34_2_pc,histamine,-0.05
c34_2_pc,n_carbamoyl_beta_alanine,-0.05
c34_2_pc,x4_acetamidobutanoate,-0.05
c34_2_pc,x4_hydroxyhippurate,-0.05
c34_2_pc,bilirubin,-0.05
c34_2_pc,biliverdin,-0.05
c34_2_pc,dmgv,-0.05
c34_2_pc,hippurate,-0.05
c34_2_pc,homoarginine,-0.05
c34_2_pc,n2_n2_dimethylguanosine,-0.05
c34_2_pc,n6_n6_dimethyllysine,-0.05
c34_2_pc,n6_methyllysine,-0.05
c34_2_pc,n_acetylputrescine,-0.05
c34_2_pc,trigonelline,-0.05
c34_2_pc,x2_aminobutyrate,-0.1
c34_2_pc,x3_hydroxymethylglutarate,-0.1
c34_2_pc,x3_methyladipate_pimelate,-0.1
c34_2_pc,adonitol_arabitol,-0.1
c34_2_pc,amp,-0.1
c34_2_pc,glucuronate,-0.1
c34_2_pc,kynurenine,-0.1
c34_2_pc,lactate,-0.1
c34_2_pc,malonate,-0.1
c34_2_pc,c18_2_lpc,0.55
c34_2_pc,c18_1_lpc,0.6
c34_2_pc,c18_0_lpc,0.5
c34_2_pc,c18_2_lpe,0.45
c34_2_pc,c18_1_lpe,0.45
c36_4_pc_a,serine,-0.1
c36_4_pc_a,histidine,-0.1
c36_4_pc_a,lysine,-0.1
c36_4_pc_a,leucine,-0.05
c36_4_pc_a,tryptophan,-0.05
c36_4_pc_a,proline,-0.05
c36_4_pc_a,hydroxyproline,-0.05
c36_4_pc_a,gaba,-0.1
c36_4_pc_a,x2_aminoisobutyric_acid,-0.1
c36_4_pc_a,histamine,-0.05
c36_4_pc_a,n_carbamoyl_beta_alanine,-0.05
c36_4_pc_a,x4_acetamidobutanoate,-0.05
c36_4_pc_a,x4_hydroxyhippurate,-0.05
c36_4_pc_a,bilirubin,-0.05
c36_4_pc_a,biliverdin,-0.05
c36_4_pc_a,dmgv,-0.05
c36_4_pc_a,hippurate,-0.05
c36_4_pc_a,homoarginine,-0.05
c36_4_pc_a,n2_n2_dimethylguanosine,-0.05
c36_4_pc_a,n6_n6_dimethyllysine,-0.05
c36_4_pc_a,n6_methyllysine,-0.05
c36_4_pc_a,n_acetylputrescine,-0.05
c36_4_pc_a,trigonelline,-0.05
c36_4_pc_a,x2_aminobutyrate,-0.1
c36_4_pc_a,x3_hydroxymethylglutarate,-0.1
c36_4_pc_a,x3_methyladipate_pimelate,-0.1
c36_4_pc_a,adonitol_arabitol,-0.1
c36_4_pc_a,amp,-0.1
c36_4_pc_a,glucuronate,-0.1
c36_4_pc_a,kynurenine,-0.1
c36_4_pc_a,lactate,-0.1
c36_4_pc_a,malonate,-0.1
c36_4_pc_a,c18_2_lpc,0.5
c36_4_pc_a,c18_1_lpc,0.55
c36_4_pc_a,c18_0_lpc,0.45
c36_4_pc_a,c18_2_lpe,0.4
c36_4_pc_a,c18_1_lpe,0.4
c36_4_pc_a,c34_2_pc,0.7
c36_2_pc,serine,-0.1
c36_2_pc,histidine,-0.1
c36_2_pc,lysine,-0.1
c36_2_pc,leucine,-0.05
c36_2_pc,tryptophan,-0.05
c36_2_pc,proline,-0.05
c36_2_pc,hydroxyproline,-0.05
c36_2_pc,gaba,-0.1
c36_2_pc,x2_aminoisobutyric_acid,-0.1
c36_2_pc,histamine,-0.05
c36_2_pc,n_carbamoyl_beta_alanine,-0.05
c36_2_pc,x4_acetamidobutanoate,-0.05
c36_2_pc,x4_hydroxyhippurate,-0.05
c36_2_pc,bilirubin,-0.05
c36_2_pc,biliverdin,-0.05
c36_2_pc,dmgv,-0.05
c36_2_pc,hippurate,-0.05
c36_2_pc,homoarginine,-0.05
c36_2_pc,n2_n2_dimethylguanosine,-0.05
c36_2_pc,n6_n6_dimethyllysine,-0.05
c36_2_pc,n6_methyllysine,-0.05
c36_2_pc,n_acetylputrescine,-0.05
c36_2_pc,trigonelline,-0.05
c36_2_pc,x2_aminobutyrate,-0.1
c36_2_pc,x3_hydroxymethylglutarate,-0.1
c36_2_pc,x3_methyladipate_pimelate,-0.1
c36_2_pc,adonitol_arabitol,-0.1
c36_2_pc,amp,-0.1
c36_2_pc,glucuronate,-0.1
c36_2_pc,kynurenine,-0.1
c36_2_pc,lactate,-0.1
c36_2_pc,malonate,-0.1
c36_2_pc,c18_2_lpc,0.5
c36_2_pc,c18_1_lpc,0.55
c36_2_pc,c18_0_lpc,0.5
c36_2_pc,c18_2_lpe,0.4
c36_2_pc,c18_1_lpe,0.4
c36_2_pc,c34_2_pc,0.75
c36_2_pc,c36_4_pc_a,0.7
c36_3_pe_plasmalogen,serine,-0.1
c36_3_pe_plasmalogen,histidine,-0.1
c36_3_pe_plasmalogen,lysine,-0.1
c36_3_pe_plasmalogen,leucine,-0.05
c36_3_pe_plasmalogen,tryptophan,-0.05
c36_3_pe_plasmalogen,proline,-0.05
c36_3_pe_plasmalogen,hydroxyproline,-0.05
c36_3_pe_plasmalogen,gaba,-0.1
c36_3_pe_plasmalogen,x2_aminoisobutyric_acid,-0.1
c36_3_pe_plasmalogen,histamine,-0.05
c36_3_pe_plasmalogen,n_carbamoyl_beta_alanine,-0.05
c36_3_pe_plasmalogen,x4_acetamidobutanoate,-0.05
c36_3_pe_plasmalogen,x4_hydroxyhippurate,-0.05
c36_3_pe_plasmalogen,bilirubin,-0.05
c36_3_pe_plasmalogen,biliverdin,-0.05
c36_3_pe_plasmalogen,dmgv,-0.05
c36_3_pe_plasmalogen,hippurate,-0.05
c36_3_pe_plasmalogen,homoarginine,-0.05
c36_3_pe_plasmalogen,n2_n2_dimethylguanosine,-0.05
c36_3_pe_plasmalogen,n6_n6_dimethyllysine,-0.05
c36_3_pe_plasmalogen,n6_methyllysine,-0.05
c36_3_pe_plasmalogen,n_acetylputrescine,-0.05
c36_3_pe_plasmalogen,trigonelline,-0.05
c36_3_pe_plasmalogen,x2_aminobutyrate,-0.1
c36_3_pe_plasmalogen,x3_hydroxymethylglutarate,-0.1
c36_3_pe_plasmalogen,x3_methyladipate_pimelate,-0.1
c36_3_pe_plasmalogen,adonitol_arabitol,-0.1
c36_3_pe_plasmalogen,amp,-0.1
c36_3_pe_plasmalogen,glucuronate,-0.1
c36_3_pe_plasmalogen,kynurenine,-0.1
c36_3_pe_plasmalogen,lactate,-0.1
c36_3_pe_plasmalogen,malonate,-0.1
c36_3_pe_plasmalogen,c18_2_lpc,0.4
c36_3_pe_plasmalogen,c18_1_lpc,0.45
c36_3_pe_plasmalogen,c18_0_lpc,0.4
c36_3_pe_plasmalogen,c18_2_lpe,0.55
c36_3_pe_plasmalogen,c18_1_lpe,0.6
c36_3_pe_plasmalogen,c34_2_pc,0.55
c36_3_pe_plasmalogen,c36_4_pc_a,0.55
c36_3_pe_plasmalogen,c36_2_pc,0.6
c42_0_tag,serine,-0.15
c42_0_tag,histidine,-0.15
c42_0_tag,lysine,-0.15
c42_0_tag,leucine,-0.1
c42_0_tag,tryptophan,-0.1
c42_0_tag,proline,-0.1
c42_0_tag,hydroxyproline,-0.1
c42_0_tag,gaba,-0.15
c42_0_tag,x2_aminoisobutyric_acid,-0.2
c42_0_tag,histamine,-0.05
c42_0_tag,n_carbamoyl_beta_alanine,-0.05
c42_0_tag,x4_acetamidobutanoate,-0.05
c42_0_tag,x4_hydroxyhippurate,-0.05
c42_0_tag,bilirubin,-0.05
c42_0_tag,biliverdin,-0.05
c42_0_tag,dmgv,-0.05
c42_0_tag,hippurate,-0.05
c42_0_tag,homoarginine,-0.05
c42_0_tag,n2_n2_dimethylguanosine,-0.05
c42_0_tag,n6_n6_dimethyllysine,-0.05
c42_0_tag,n6_methyllysine,-0.05
c42_0_tag,n_acetylputrescine,-0.05
c42_0_tag,trigonelline,-0.1
c42_0_tag,x2_aminobutyrate,-0.1
c42_0_tag,x3_hydroxymethylglutarate,-0.1
c42_0_tag,x3_methyladipate_pimelate,-0.1
c42_0_tag,adonitol_arabitol,-0.1
c42_0_tag,amp,-0.1
c42_0_tag,glucuronate,-0.1
c42_0_tag,kynurenine,-0.1
c42_0_tag,lactate,-0.1
c42_0_tag,malonate,-0.1
c42_0_tag,c18_2_lpc,0.3
c42_0_tag,c18_1_lpc,0.35
c42_0_tag,c18_0_lpc,0.35
c42_0_tag,c18_2_lpe,0.3
c42_0_tag,c18_1_lpe,0.3
c42_0_tag,c34_2_pc,0.4
c42_0_tag,c36_4_pc_a,0.4
c42_0_tag,c36_2_pc,0.4
c42_0_tag,c36_3_pe_plasmalogen,0.35
c43_1_tag,serine,-0.15
c43_1_tag,histidine,-0.15
c43_1_tag,lysine,-0.15
c43_1_tag,leucine,-0.1
c43_1_tag,tryptophan,-0.1
c43_1_tag,proline,-0.1
c43_1_tag,hydroxyproline,-0.1
c43_1_tag,gaba,-0.15
c43_1_tag,x2_aminoisobutyric_acid,-0.2
c43_1_tag,histamine,-0.05
c43_1_tag,n_carbamoyl_beta_alanine,-0.05
c43_1_tag,x4_acetamidobutanoate,-0.05
c43_1_tag,x4_hydroxyhippurate,-0.05
c43_1_tag,bilirubin,-0.05
c43_1_tag,biliverdin,-0.05
c43_1_tag,dmgv,-0.05
c43_1_tag,hippurate,-0.05
c43_1_tag,homoarginine,-0.05
c43_1_tag,n2_n2_dimethylguanosine,-0.05
c43_1_tag,n6_n6_dimethyllysine,-0.05
c43_1_tag,n6_methyllysine,-0.05
c43_1_tag,n_acetylputrescine,-0.05
c43_1_tag,trigonelline,-0.1
c43_1_tag,x2_aminobutyrate,-0.1
c43_1_tag,x3_hydroxymethylglutarate,-0.1
c43_1_tag,x3_methyladipate_pimelate,-0.1
c43_1_tag,adonitol_arabitol,-0.1
c43_1_tag,amp,-0.1
c43_1_tag,glucuronate,-0.1
c43_1_tag,kynurenine,-0.1
c43_1_tag,lactate,-0.1
c43_1_tag,malonate,-0.1
c43_1_tag,c18_2_lpc,0.3
c43_1_tag,c18_1_lpc,0.35
c43_1_tag,c18_0_lpc,0.35
c43_1_tag,c18_2_lpe,0.3
c43_1_tag,c18_1_lpe,0.3
c43_1_tag,c34_2_pc,0.4
c43_1_tag,c36_4_pc_a,0.4
c43_1_tag,c36_2_pc,0.4
c43_1_tag,c36_3_pe_plasmalogen,0.35
c43_1_tag,c42_0_tag,0.85
c45_2_tag,serine,-0.15
c45_2_tag,histidine,-0.15
c45_2_tag,lysine,-0.15
c45_2_tag,leucine,-0.1
c45_2_tag,tryptophan,-0.1
c45_2_tag,proline,-0.1
c45_2_tag,hydroxyproline,-0.1
c45_2_tag,gaba,-0.15
c45_2_tag,x2_aminoisobutyric_acid,-0.2
c45_2_tag,histamine,-0.05
c45_2_tag,n_carbamoyl_beta_alanine,-0.05
c45_2_tag,x4_acetamidobutanoate,-0.05
c45_2_tag,x4_hydroxyhippurate,-0.05
c45_2_tag,bilirubin,-0.05
c45_2_tag,biliverdin,-0.05
c45_2_tag,dmgv,-0.05
c45_2_tag,hippurate,-0.05
c45_2_tag,homoarginine,-0.05
c45_2_tag,n2_n2_dimethylguanosine,-0.05
c45_2_tag,n6_n6_dimethyllysine,-0.05
c45_2_tag,n6_methyllysine,-0.05
c45_2_tag,n_acetylputrescine,-0.05
c45_2_tag,trigonelline,-0.1
c45_2_tag,x2_aminobutyrate,-0.1
c45_2_tag,x3_hydroxymethylglutarate,-0.1
c45_2_tag,x3_methyladipate_pimelate,-0.1
c45_2_tag,adonitol_arabitol,-0.1
c45_2_tag,amp,-0.1
c45_2_tag,glucuronate,-0.1
c45_2_tag,kynurenine,-0.1
c45_2_tag,lactate,-0.1
c45_2_tag,malonate,-0.1
c45_2_tag,c18_2_lpc,0.3
c45_2_tag,c18_1_lpc,0.35
c45_2_tag,c18_0_lpc,0.35
c45_2_tag,c18_2_lpe,0.3
c45_2_tag,c18_1_lpe,0.3
c45_2_tag,c34_2_pc,0.4
c45_2_tag,c36_4_pc_a,0.4
c45_2_tag,c36_2_pc,0.4
c45_2_tag,c36_3_pe_plasmalogen,0.35
c45_2_tag,c42_0_tag,0.8
c45_2_tag,c43_1_tag,0.85
c46_4_tag,serine,-0.15
c46_4_tag,histidine,-0.15
c46_4_tag,lysine,-0.15
c46_4_tag,leucine,-0.1
c46_4_tag,tryptophan,-0.1
c46_4_tag,proline,-0.1
c46_4_tag,hydroxyproline,-0.1
c46_4_tag,gaba,-0.15
c46_4_tag,x2_aminoisobutyric_acid,-0.2
c46_4_tag,histamine,-0.05
c46_4_tag,n_carbamoyl_beta_alanine,-0.05
c46_4_tag,x4_acetamidobutanoate,-0.05
c46_4_tag,x4_hydroxyhippurate,-0.05
c46_4_tag,bilirubin,-0.05
c46_4_tag,biliverdin,-0.05
c46_4_tag,dmgv,-0.05
c46_4_tag,hippurate,-0.05
c46_4_tag,homoarginine,-0.05
c46_4_tag,n2_n2_dimethylguanosine,-0.05
c46_4_tag,n6_n6_dimethyllysine,-0.05
c46_4_tag,n6_methyllysine,-0.05
c46_4_tag,n_acetylputrescine,-0.05
c46_4_tag,trigonelline,-0.1
c46_4_tag,x2_aminobutyrate,-0.1
c46_4_tag,x3_hydroxymethylglutarate,-0.1
c46_4_tag,x3_methyladipate_pimelate,-0.1
c46_4_tag,adonitol_arabitol,-0.1
c46_4_tag,amp,-0.1
c46_4_tag,glucuronate,-0.1
c46_4_tag,kynurenine,-0.1
c46_4_tag,lactate,-0.1
c46_4_tag,malonate,-0.1
c46_4_tag,c18_2_lpc,0.25
c46_4_tag,c18_1_lpc,0.3
c46_4_tag,c18_0_lpc,0.3
c46_4_tag,c18_2_lpe,0.3
c46_4_tag,c18_1_lpe,0.3
c46_4_tag,c34_2_pc,0.35
c46_4_tag,c36_4_pc_a,0.4
c46_4_tag,c36_2_pc,0.4
c46_4_tag,c36_3_pe_plasmalogen,0.35
c46_4_tag,c42_0_tag,0.75
c46_4_tag,c43_1_tag,0.8
c46_4_tag,c45_2_tag,0.85
x13_hode,serine,-0.1
x13_hode,histidine,-0.1
x13_hode,lysine,-0.1
x13_hode,leucine,-0.05
x13_hode,tryptophan,-0.05
x13_hode,proline,-0.05
x13_hode,hydroxyproline,-0.05
x13_hode,gaba,-0.1
x13_hode,x2_aminoisobutyric_acid,-0.1
x13_hode,histamine,-0.05
x13_hode,n_carbamoyl_beta_alanine,-0.05
x13_hode,x4_acetamidobutanoate,-0.05
x13_hode,x4_hydroxyhippurate,-0.05
x13_hode,bilirubin,-0.05
x13_hode,biliverdin,-0.05
x13_hode,dmgv,-0.05
x13_hode,hippurate,-0.05
x13_hode,homoarginine,-0.05
x13_hode,n2_n2_dimethylguanosine,-0.05
x13_hode,n6_n6_dimethyllysine,-0.05
x13_hode,n6_methyllysine,-0.05
x13_hode,n_acetylputrescine,-0.05
x13_hode,trigonelline,-0.05
x13_hode,x2_aminobutyrate,-0.05
x13_hode,x3_hydroxymethylglutarate,-0.05
x13_hode,x3_methyladipate_pimelate,-0.05
x13_hode,adonitol_arabitol,-0.05
x13_hode,amp,-0.05
x13_hode,glucuronate,-0.05
x13_hode,kynurenine,-0.05
x13_hode,lactate,-0.05
x13_hode,malonate,-0.05
x13_hode,c18_2_lpc,0.3
x13_hode,c18_1_lpc,0.3
x13_hode,c18_0_lpc,0.25
x13_hode,c18_2_lpe,0.25
x13_hode,c18_1_lpe,0.25
x13_hode,c34_2_pc,0.3
x13_hode,c36_4_pc_a,0.35
x13_hode,c36_2_pc,0.35
x13_hode,c36_3_pe_plasmalogen,0.3
x13_hode,c42_0_tag,0.35
x13_hode,c43_1_tag,0.35
x13_hode,c45_2_tag,0.35
x13_hode,c46_4_tag,0.35
x15_hete,serine,-0.1
x15_hete,histidine,-0.1
x15_hete,lysine,-0.1
x15_hete,leucine,-0.05
x15_hete,tryptophan,-0.05
x15_hete,proline,-0.05
x15_hete,hydroxyproline,-0.05
x15_hete,gaba,-0.1
x15_hete,x2_aminoisobutyric_acid,-0.1
x15_hete,histamine,-0.05
x15_hete,n_carbamoyl_beta_alanine,-0.05
x15_hete,x4_acetamidobutanoate,-0.05
x15_hete,x4_hydroxyhippurate,-0.05
x15_hete,bilirubin,-0.05
x15_hete,biliverdin,-0.05
x15_hete,dmgv,-0.05
x15_hete,hippurate,-0.05
x15_hete,homoarginine,-0.05
x15_hete,n2_n2_dimethylguanosine,-0.05
x15_hete,n6_n6_dimethyllysine,-0.05
x15_hete,n6_methyllysine,-0.05
x15_hete,n_acetylputrescine,-0.05
x15_hete,trigonelline,-0.05
x15_hete,x2_aminobutyrate,-0.05
x15_hete,x3_hydroxymethylglutarate,-0.05
x15_hete,x3_methyladipate_pimelate,-0.05
x15_hete,adonitol_arabitol,-0.05
x15_hete,amp,-0.05
x15_hete,glucuronate,-0.05
x15_hete,kynurenine,-0.05
x15_hete,lactate,-0.05
x15_hete,malonate,-0.05
x15_hete,c18_2_lpc,0.25
x15_hete,c18_1_lpc,0.25
x15_hete,c18_0_lpc,0.2
x15_hete,c18_2_lpe,0.25
x15_hete,c18_1_lpe,0.25
x15_hete,c34_2_pc,0.3
x15_hete,c36_4_pc_a,0.35
x15_hete,c36_2_pc,0.35
x15_hete,c36_3_pe_plasmalogen,0.3
x15_hete,c42_0_tag,0.3
x15_hete,c43_1_tag,0.3
x15_hete,c45_2_tag,0.3
x15_hete,c46_4_tag,0.3
x15_hete,x13_hode,0.65
x2_hydroxyoctanoate,serine,-0.1
x2_hydroxyoctanoate,histidine,-0.1
x2_hydroxyoctanoate,lysine,-0.1
x2_hydroxyoctanoate,leucine,-0.05
x2_hydroxyoctanoate,tryptophan,-0.05
x2_hydroxyoctanoate,proline,-0.05
x2_hydroxyoctanoate,hydroxyproline,-0.05
x2_hydroxyoctanoate,gaba,-0.1
x2_hydroxyoctanoate,x2_aminoisobutyric_acid,-0.1
x2_hydroxyoctanoate,histamine,-0.05
x2_hydroxyoctanoate,n_carbamoyl_beta_alanine,-0.05
x2_hydroxyoctanoate,x4_acetamidobutanoate,-0.05
x2_hydroxyoctanoate,x4_hydroxyhippurate,-0.05
x2_hydroxyoctanoate,bilirubin,-0.05
x2_hydroxyoctanoate,biliverdin,-0.05
x2_hydroxyoctanoate,dmgv,-0.05
x2_hydroxyoctanoate,hippurate,-0.05
x2_hydroxyoctanoate,homoarginine,-0.05
x2_hydroxyoctanoate,n2_n2_dimethylguanosine,-0.05
x2_hydroxyoctanoate,n6_n6_dimethyllysine,-0.05
x2_hydroxyoctanoate,n6_methyllysine,-0.05
x2_hydroxyoctanoate,n_acetylputrescine,-0.05
x2_hydroxyoctanoate,trigonelline,-0.05
x2_hydroxyoctanoate,x2_aminobutyrate,-0.05
x2_hydroxyoctanoate,x3_hydroxymethylglutarate,-0.05
x2_hydroxyoctanoate,x3_methyladipate_pimelate,-0.05
x2_hydroxyoctanoate,adonitol_arabitol,-0.05
x2_hydroxyoctanoate,amp,-0.05
x2_hydroxyoctanoate,glucuronate,-0.05
x2_hydroxyoctanoate,kynurenine,-0.05
x2_hydroxyoctanoate,lactate,-0.05
x2_hydroxyoctanoate,malonate,-0.05
x2_hydroxyoctanoate,c18_2_lpc,0.2
x2_hydroxyoctanoate,c18_1_lpc,0.2
x2_hydroxyoctanoate,c18_0_lpc,0.2
x2_hydroxyoctanoate,c18_2_lpe,0.2
x2_hydroxyoctanoate,c18_1_lpe,0.2
x2_hydroxyoctanoate,c34_2_pc,0.25
x2_hydroxyoctanoate,c36_4_pc_a,0.3
x2_hydroxyoctanoate,c36_2_pc,0.3
x2_hydroxyoctanoate,c36_3_pe_plasmalogen,0.25
x2_hydroxyoctanoate,c42_0_tag,0.25
x2_hydroxyoctanoate,c43_1_tag,0.25
x2_hydroxyoctanoate,c45_2_tag,0.25
x2_hydroxyoctanoate,c46_4_tag,0.25
x2_hydroxyoctanoate,x13_hode,0.5
x2_hydroxyoctanoate,x15_hete,0.5
caprate,serine,-0.1
caprate,histidine,-0.1
caprate,lysine,-0.1
caprate,leucine,-0.05
caprate,tryptophan,-0.05
caprate,proline,-0.05
caprate,hydroxyproline,-0.05
caprate,gaba,-0.1
caprate,x2_aminoisobutyric_acid,-0.1
caprate,histamine,-0.05
caprate,n_carbamoyl_beta_alanine,-0.05
caprate,x4_acetamidobutanoate,-0.05
caprate,x4_hydroxyhippurate,-0.05
caprate,bilirubin,-0.05
caprate,biliverdin,-0.05
caprate,dmgv,-0.05
caprate,hippurate,-0.05
caprate,homoarginine,-0.05
caprate,n2_n2_dimethylguanosine,-0.05
caprate,n6_n6_dimethyllysine,-0.05
caprate,n6_methyllysine,-0.05
caprate,n_acetylputrescine,-0.05
caprate,trigonelline,-0.05
caprate,x2_aminobutyrate,-0.05
caprate,x3_hydroxymethylglutarate,-0.05
caprate,x3_methyladipate_pimelate,-0.05
caprate,adonitol_arabitol,-0.05
caprate,amp,-0.05
caprate,glucuronate,-0.05
caprate,kynurenine,-0.05
caprate,lactate,-0.05
caprate,malonate,-0.05
caprate,c18_2_lpc,0.2
caprate,c18_1_lpc,0.2
caprate,c18_0_lpc,0.2
caprate,c18_2_lpe,0.2
caprate,c18_1_lpe,0.2
caprate,c34_2_pc,0.25
caprate,c36_4_pc_a,0.3
caprate,c36_2_pc,0.3
caprate,c36_3_pe_plasmalogen,0.25
caprate,c42_0_tag,0.25
caprate,c43_1_tag,0.25
caprate,c45_2_tag,0.25
caprate,c46_4_tag,0.25
caprate,x13_hode,0.45
caprate,x15_hete,0.45
caprate,x2_hydroxyoctanoate,0.6
arachidate,serine,-0.1
arachidate,histidine,-0.1
arachidate,lysine,-0.1
arachidate,leucine,-0.05
arachidate,tryptophan,-0.05
arachidate,proline,-0.05
arachidate,hydroxyproline,-0.05
arachidate,gaba,-0.1
arachidate,x2_aminoisobutyric_acid,-0.1
arachidate,histamine,-0.05
arachidate,n_carbamoyl_beta_alanine,-0.05
arachidate,x4_acetamidobutanoate,-0.05
arachidate,x4_hydroxyhippurate,-0.05
arachidate,bilirubin,-0.05
arachidate,biliverdin,-0.05
arachidate,dmgv,-0.05
arachidate,hippurate,-0.05
arachidate,homoarginine,-0.05
arachidate,n2_n2_dimethylguanosine,-0.05
arachidate,n6_n6_dimethyllysine,-0.05
arachidate,n6_methyllysine,-0.05
arachidate,n_acetylputrescine,-0.05
arachidate,trigonelline,-0.05
arachidate,x2_aminobutyrate,-0.05
arachidate,x3_hydroxymethylglutarate,-0.05
arachidate,x3_methyladipate_pimelate,-0.05
arachidate,adonitol_arabitol,-0.05
arachidate,amp,-0.05
arachidate,glucuronate,-0.05
arachidate,kynurenine,-0.05
arachidate,lactate,-0.05
arachidate,malonate,-0.05
arachidate,c18_2_lpc,0.15
arachidate,c18_1_lpc,0.15
arachidate,c18_0_lpc,0.2
arachidate,c18_2_lpe,0.15
arachidate,c18_1_lpe,0.15
arachidate,c34_2_pc,0.2
arachidate,c36_4_pc_a,0.25
arachidate,c36_2_pc,0.25
arachidate,c36_3_pe_plasmalogen,0.2
arachidate,c42_0_tag,0.2
arachidate,c43_1_tag,0.2
arachidate,c45_2_tag,0.2
arachidate,c46_4_tag,0.2
arachidate,x13_hode,0.4
arachidate,x15_hete,0.4
arachidate,x2_hydroxyoctanoate,0.55
arachidate,caprate,0.7
x3_methyladipate,serine,-0.05
x3_methyladipate,histidine,-0.05
x3_methyladipate,lysine,-0.05
x3_methyladipate,leucine,-0.05
x3_methyladipate,tryptophan,-0.05
x3_methyladipate,proline,-0.05
x3_methyladipate,hydroxyproline,-0.05
x3_methyladipate,gaba,-0.05
x3_methyladipate,x2_aminoisobutyric_acid,-0.05
x3_methyladipate,histamine,-0.05
x3_methyladipate,n_carbamoyl_beta_alanine,-0.05
x3_methyladipate,x4_acetamidobutanoate,-0.05
x3_methyladipate,x4_hydroxyhippurate,-0.05
x3_methyladipate,bilirubin,-0.05
x3_methyladipate,biliverdin,-0.05
x3_methyladipate,dmgv,-0.05
x3_methyladipate,hippurate,-0.05
x3_methyladipate,homoarginine,-0.05
x3_methyladipate,n2_n2_dimethylguanosine,-0.05
x3_methyladipate,n6_n6_dimethyllysine,-0.05
x3_methyladipate,n6_methyllysine,-0.05
x3_methyladipate,n_acetylputrescine,-0.05
x3_methyladipate,trigonelline,-0.05
x3_methyladipate,x2_aminobutyrate,-0.05
x3_methyladipate,x3_hydroxymethylglutarate,-0.05
x3_methyladipate,x3_methyladipate_pimelate,-0.05
x3_methyladipate,adonitol_arabitol,-0.05
x3_methyladipate,amp,-0.05
x3_methyladipate,glucuronate,-0.05
x3_methyladipate,kynurenine,-0.05
x3_methyladipate,lactate,-0.05
x3_methyladipate,malonate,-0.05
x3_methyladipate,c18_2_lpc,0.1
x3_methyladipate,c18_1_lpc,0.1
x3_methyladipate,c18_0_lpc,0.1
x3_methyladipate,c18_2_lpe,0.1
x3_methyladipate,c18_1_lpe,0.1
x3_methyladipate,c34_2_pc,0.15
x3_methyladipate,c36_4_pc_a,0.15
x3_methyladipate,c36_2_pc,0.15
x3_methyladipate,c36_3_pe_plasmalogen,0.1
x3_methyladipate,c42_0_tag,0.15
x3_methyladipate,c43_1_tag,0.15
x3_methyladipate,c45_2_tag,0.15
x3_methyladipate,c46_4_tag,0.15
x3_methyladipate,x13_hode,0.3
x3_methyladipate,x15_hete,0.3
x3_methyladipate,x2_hydroxyoctanoate,0.4
x3_methyladipate,caprate,0.5
x3_methyladipate,arachidate,0.55
x4_hydroxystyrene,serine,-0.05
x4_hydroxystyrene,histidine,-0.05
x4_hydroxystyrene,lysine,-0.05
x4_hydroxystyrene,leucine,-0.05
x4_hydroxystyrene,tryptophan,-0.05
x4_hydroxystyrene,proline,-0.05
x4_hydroxystyrene,hydroxyproline,-0.05
x4_hydroxystyrene,gaba,-0.05
x4_hydroxystyrene,x2_aminoisobutyric_acid,-0.05
x4_hydroxystyrene,histamine,-0.05
x4_hydroxystyrene,n_carbamoyl_beta_alanine,-0.05
x4_hydroxystyrene,x4_acetamidobutanoate,-0.05
x4_hydroxystyrene,x4_hydroxyhippurate,-0.05
x4_hydroxystyrene,bilirubin,-0.05
x4_hydroxystyrene,biliverdin,-0.05
x4_hydroxystyrene,dmgv,-0.05
x4_hydroxystyrene,hippurate,-0.05
x4_hydroxystyrene,homoarginine,-0.05
